condicional,futuro,gerundio,imperfecto,imperfecto subj,infinitivo,participio,presente,presente durativo,presente subj,pretérito,pretérito perf,pretérito pluscuam,verb,type
77,980,113,375,659,2812,6063,3891,23,1264,8254,3112,867,decidir,token
66,681,104,257,531,1898,3935,2109,22,1025,4419,2560,444,decidir,document
56,73,206,81,49,1183,679,822,41,129,407,178,55,destruir,token
49,61,173,77,48,756,501,540,35,107,326,156,52,destruir,document
13,23,182,289,23,520,267,3101,9,34,292,62,37,dibujar,token
13,19,146,177,23,306,204,1247,9,27,211,53,32,dibujar,document
19,203,276,105,48,1832,2275,976,99,181,545,527,80,elaborar,token
18,145,247,73,45,1123,1688,529,96,162,411,467,72,elaborar,document
10,94,123,288,22,1025,462,890,25,67,309,101,43,fabricar,token
8,73,94,132,22,627,337,542,21,60,187,83,35,fabricar,document
11,24,48,112,18,164,312,483,7,933,105,34,12,fundir,token
10,23,40,85,18,109,169,352,4,504,89,28,9,fundir,document
44,283,114,118,83,1102,1799,844,25,185,1029,460,259,instalar,token
42,230,103,97,78,688,1106,538,23,154,622,405,174,instalar,document
39,207,1454,1144,280,5155,2539,4474,159,719,1795,1234,421,leer,token
37,165,746,508,204,2276,1307,2089,135,482,932,761,243,leer,document
26,46,261,376,54,1001,1038,1964,37,62,556,145,81,pintar,token
24,36,187,221,46,501,580,1036,30,49,317,106,64,pintar,document
11,26,75,109,34,827,250,581,4,89,353,52,87,reparar,token
10,22,55,68,30,524,179,393,4,76,174,47,54,reparar,document
117,377,162,174,128,4590,1573,1257,18,523,725,394,98,resolver,token
101,262,134,135,112,2605,1068,853,17,435,480,354,79,resolver,document
23,44,221,215,22,550,171,3634,0,35,310,57,8,resumir,token
23,38,172,157,20,417,124,2046,0,33,257,52,8,resumir,document
60,92,29,41,27,1418,235,303,2,3688,95,67,13,solucionar,token
58,89,28,41,27,1100,215,257,2,1961,87,63,13,solucionar,document
1254,3530,1294,3029,1135,10028,5222,12702,162,2929,11922,3484,1090,volver,token
610,2029,793,812,588,3920,2393,4449,141,1662,3432,2092,327,volver,document
210,1017,1021,1729,439,5155,6669,7000,85,962,5353,1169,362,abrir,token
185,806,666,644,318,2699,3681,3032,75,684,2124,1005,225,abrir,document
11,29,24,222,53,348,668,1895,2,87,664,116,59,acertar,token
11,28,24,130,42,272,554,1284,2,82,448,110,42,acertar,document
11,33,153,160,68,478,518,804,6,124,501,68,58,apagar,token
9,31,124,106,59,352,330,421,6,103,232,57,46,apagar,document
6,13,22,30,16,312,466,157,0,18,91,17,16,atrapar,token
6,12,20,26,15,230,333,135,0,17,67,17,15,atrapar,document
3,3,22,23,12,334,297,1432,0,27,122,32,23,capturar,token
3,3,20,19,10,208,237,816,0,13,94,32,20,capturar,document
75,501,667,854,224,3270,3505,3245,42,4114,3105,534,166,cerrar,token
70,423,457,410,176,1975,2002,1667,41,2492,1563,467,125,cerrar,document
27,23,66,169,26,443,80,552,4,1968,348,49,17,chocar,token
25,18,59,133,26,330,77,436,4,1359,278,48,16,chocar,document
101,275,522,418,280,3493,3377,2733,45,315,3666,1109,400,descubrir,token
86,222,390,239,216,1679,1842,1464,43,254,1680,817,244,descubrir,document
55,87,199,487,165,1663,793,2196,26,302,1432,442,193,despertar,token
50,78,173,250,121,842,580,1073,26,214,696,374,148,despertar,document
5,20,56,93,53,1546,970,881,12,88,560,538,104,detectar,token
5,16,53,70,50,820,725,554,12,85,455,424,88,detectar,document
42,35,185,198,74,840,505,2188,20,787,969,231,74,disparar,token
38,31,148,156,67,498,406,1217,17,538,715,212,64,disparar,document
12,53,141,342,61,751,781,1083,8,105,959,94,83,encender,token
10,42,114,177,52,383,427,455,8,86,296,85,60,encender,document
38,87,62,161,196,243,1027,6360,13,447,1167,412,143,enterarse,token
34,73,53,109,142,171,575,2391,12,280,664,284,107,enterarse,document
236,480,1116,845,304,6125,4160,8635,135,632,4118,1702,428,ganar,token
203,380,790,537,256,3538,2436,3696,107,508,2697,1279,326,ganar,document
83,804,264,575,264,2608,2231,10059,33,401,4113,887,382,iniciar,token
80,683,205,374,233,1765,1645,4046,32,313,2766,778,269,iniciar,document
295,450,443,879,343,4788,3996,4029,59,542,5361,2332,744,lograr,token
221,369,358,418,281,3012,2590,2258,58,457,3225,1770,400,lograr,document
259,482,415,652,334,4601,8636,3801,126,860,5619,1512,811,morir,token
190,322,296,396,242,1677,2873,1845,98,480,2827,890,377,morir,document
70,132,128,386,224,1502,4324,3113,32,233,4352,721,698,nacer,token
61,114,108,239,169,846,2241,1602,31,179,2478,527,389,nacer,document
302,670,562,375,0,6801,2805,3265,64,542,3699,1161,250,obtener,token
242,432,385,278,0,3184,1859,1420,60,418,2447,940,196,obtener,document
440,699,1574,1339,476,6857,8865,5382,283,1317,4988,3816,1270,perder,token
353,541,1075,638,364,3455,4018,2745,242,922,2916,2410,584,perder,document
271,1524,800,1367,351,5098,5397,6948,181,750,6855,2541,818,recibir,token
204,1164,627,715,276,3072,3696,3507,175,590,4035,2037,580,recibir,document
124,238,463,955,233,4206,2246,5981,26,625,3663,723,143,reconocer,token
107,198,373,622,198,2147,1655,3540,26,515,2585,653,115,reconocer,document
95,205,403,553,215,1044,1257,3848,58,426,2191,643,170,surgir,token
84,172,295,290,173,718,905,1751,52,349,1266,512,128,surgir,document
20,26,88,100,29,213,137,620,3,47,404,80,41,tropezar,token
17,24,73,81,28,157,110,447,3,42,256,72,33,tropezar,document
